Model,Accuracy,Precision,Recall,F1,ROC_AUC
Dummy,0.5333333333333333,0.0,0.0,0.0,0.5
Logistic Regression,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9397321428571428
Decision Tree,0.7666666666666667,0.85,0.6071428571428571,0.7083333333333334,0.8058035714285715
Random Forest,0.8166666666666667,0.8148148148148148,0.7857142857142857,0.8,0.9090401785714286
